product_id,application,type,mounting_location,accessories,model_year
1,outdoor,residential,roof,without light,2022-12-08 23:31:20
2,outdoor,industrial,wall,without light,2023-01-23 03:59:58
3,outdoor,residential,free standing,with light,2022-07-05 07:23:53
4,indoor,industrial,roof,with light,2022-04-26 20:45:11
5,indoor,residential,roof,without light,2022-11-10 13:40:01
6,outdoor,residential,roof,with light,2022-09-09 14:57:50
7,indoor,industrial,wall,without light,2022-10-29 06:11:17
8,outdoor,commercial,wall,with light,2022-05-02 10:41:36
9,outdoor,residential,wall,with light,2023-02-25 17:50:50
10,outdoor,industrial,roof,with light,2022-03-26 02:19:18
11,indoor,industrial,wall,without light,2022-08-07 15:44:17
12,indoor,industrial,roof,with light,2022-05-27 02:41:36
13,indoor,commercial,roof,with light,2022-09-06 16:15:04
14,indoor,residential,roof,without light,2022-08-20 09:40:05
15,outdoor,commercial,wall,with light,2022-04-10 13:07:22
16,outdoor,residential,roof,with light,2022-04-14 08:35:09
17,indoor,industrial,wall,with light,2022-07-23 15:14:42
18,outdoor,commercial,roof,with light,2022-08-11 22:35:17
19,indoor,residential,free standing,without light,2022-11-22 20:24:55
20,outdoor,commercial,wall,without light,2023-03-03 11:50:21
21,indoor,residential,free standing,without light,2023-01-28 21:09:29
22,indoor,residential,wall,with light,2022-12-25 21:39:46
23,outdoor,residential,free standing,without light,2022-04-28 14:16:21
24,indoor,residential,wall,with light,2023-02-28 10:26:20
25,outdoor,industrial,roof,without light,2022-06-26 13:55:53
26,outdoor,residential,free standing,with light,2022-08-04 10:37:06
27,outdoor,industrial,roof,with light,2023-02-03 04:45:48
28,indoor,residential,free standing,with light,2022-10-20 13:36:08
29,indoor,commercial,free standing,with light,2022-07-21 04:42:19
30,outdoor,residential,free standing,with light,2022-10-17 12:42:48
31,outdoor,industrial,roof,with light,2022-04-17 05:56:29
32,indoor,industrial,roof,with light,2022-05-30 21:59:38
33,indoor,residential,free standing,with light,2022-11-08 12:48:11
34,outdoor,industrial,free standing,without light,2022-09-14 23:54:45
35,indoor,industrial,free standing,with light,2022-08-29 17:54:04
36,outdoor,residential,roof,without light,2022-08-12 21:45:55
37,indoor,residential,free standing,with light,2023-02-13 21:06:58
38,outdoor,commercial,roof,without light,2022-09-05 09:13:21
39,indoor,commercial,roof,without light,2022-09-26 19:35:11
40,outdoor,industrial,free standing,with light,2022-09-04 04:02:42
41,indoor,residential,roof,with light,2022-07-27 05:45:46
42,outdoor,residential,free standing,without light,2022-12-27 12:49:57
43,outdoor,residential,free standing,without light,2023-02-07 06:48:23
44,outdoor,industrial,roof,with light,2022-12-13 04:38:34
45,indoor,residential,free standing,with light,2022-11-13 04:50:41
46,indoor,residential,wall,without light,2022-05-01 02:35:18
47,indoor,commercial,wall,without light,2022-04-07 07:05:27
48,indoor,commercial,roof,with light,2022-05-13 07:56:16
49,outdoor,residential,free standing,with light,2022-09-01 22:35:52
50,outdoor,residential,roof,without light,2022-11-06 14:19:17
51,outdoor,commercial,roof,with light,2023-03-09 02:10:12
52,outdoor,residential,roof,without light,2022-04-26 21:37:07
53,indoor,industrial,roof,with light,2022-06-11 02:31:06
54,indoor,industrial,wall,with light,2022-10-12 01:31:52
55,outdoor,commercial,free standing,with light,2023-01-27 16:58:04
56,outdoor,industrial,free standing,with light,2023-01-30 01:01:37
57,indoor,industrial,free standing,without light,2022-06-25 08:45:40
58,indoor,commercial,roof,without light,2022-05-25 11:33:57
59,outdoor,residential,roof,without light,2022-08-26 01:44:47
60,outdoor,commercial,roof,without light,2022-10-03 19:50:42
61,indoor,residential,free standing,without light,2022-03-24 22:11:20
62,outdoor,industrial,roof,with light,2022-11-05 08:45:25
63,outdoor,residential,free standing,with light,2023-01-22 10:23:28
64,indoor,residential,wall,with light,2022-12-09 03:42:52
65,outdoor,residential,roof,without light,2022-09-06 17:43:58
66,indoor,commercial,free standing,with light,2022-09-25 09:46:41
67,outdoor,residential,free standing,without light,2022-04-11 01:18:11
68,indoor,commercial,wall,with light,2022-11-08 01:31:59
69,indoor,commercial,free standing,without light,2022-04-15 10:45:45
70,indoor,residential,wall,with light,2022-11-05 03:46:59
71,outdoor,industrial,roof,with light,2022-09-21 10:11:33
72,outdoor,commercial,wall,without light,2022-07-19 04:49:15
73,indoor,commercial,free standing,with light,2022-09-28 20:32:42
74,indoor,residential,roof,without light,2023-02-20 22:13:57
75,outdoor,commercial,free standing,with light,2022-12-06 12:35:14
76,indoor,industrial,roof,without light,2022-08-16 03:29:29
77,indoor,industrial,wall,with light,2022-09-19 00:50:41
78,outdoor,residential,roof,with light,2022-05-12 00:24:43
79,indoor,commercial,wall,with light,2022-06-13 14:34:40
80,outdoor,residential,free standing,without light,2022-11-17 00:22:48
81,outdoor,industrial,free standing,without light,2022-11-08 03:18:35
82,outdoor,residential,free standing,without light,2022-05-03 15:12:34
83,outdoor,industrial,wall,with light,2023-01-10 06:40:30
84,indoor,commercial,roof,without light,2022-12-08 21:49:40
85,outdoor,residential,wall,without light,2022-04-07 15:22:24
86,indoor,commercial,free standing,without light,2023-02-16 12:11:11
87,outdoor,industrial,roof,with light,2022-11-12 00:14:43
88,outdoor,residential,roof,with light,2023-01-24 06:16:03
89,outdoor,industrial,wall,with light,2022-11-16 23:25:14
90,outdoor,industrial,roof,with light,2022-03-20 04:40:13
91,indoor,residential,free standing,without light,2023-03-13 13:48:41
92,indoor,commercial,roof,without light,2022-10-11 12:50:44
93,indoor,residential,free standing,with light,2022-12-30 01:30:01
94,indoor,industrial,roof,without light,2022-07-04 01:11:30
95,outdoor,commercial,free standing,without light,2023-01-19 17:16:52
96,indoor,residential,free standing,without light,2022-10-01 21:14:37
97,outdoor,commercial,wall,with light,2022-05-17 15:02:59
98,indoor,residential,free standing,with light,2022-11-01 16:56:10
99,outdoor,commercial,wall,with light,2022-09-18 10:21:22
100,indoor,residential,roof,without light,2022-08-08 04:35:39
101,indoor,industrial,roof,with light,2022-07-24 09:48:54
102,outdoor,industrial,wall,with light,2023-02-05 08:28:23
103,outdoor,industrial,free standing,with light,2022-10-13 16:28:48
104,indoor,residential,wall,with light,2022-04-14 18:11:33
105,outdoor,industrial,roof,with light,2022-08-07 00:20:22
106,indoor,residential,wall,without light,2023-01-31 04:27:12
107,outdoor,residential,roof,without light,2022-04-11 20:07:53
108,indoor,residential,roof,with light,2022-06-18 12:04:55
109,indoor,residential,roof,without light,2022-11-10 07:35:14
110,indoor,residential,wall,with light,2023-02-13 15:51:51
111,indoor,commercial,roof,without light,2022-08-25 04:00:08
112,indoor,industrial,free standing,with light,2022-10-25 23:32:03
113,outdoor,residential,wall,without light,2022-05-13 18:02:56
114,outdoor,residential,roof,with light,2022-05-29 14:02:37
115,outdoor,industrial,wall,with light,2022-11-16 14:12:52
116,outdoor,industrial,wall,without light,2022-10-20 21:47:45
117,indoor,commercial,wall,with light,2022-06-11 21:44:37
118,indoor,commercial,roof,without light,2022-04-21 09:03:40
119,outdoor,industrial,roof,with light,2023-01-05 09:26:09
120,indoor,industrial,wall,with light,2022-05-26 22:58:19
121,outdoor,industrial,wall,with light,2023-03-18 04:04:13
122,indoor,residential,wall,with light,2022-05-15 06:14:36
123,indoor,industrial,free standing,without light,2022-04-05 03:23:34
124,outdoor,commercial,wall,without light,2022-12-06 11:47:06
125,indoor,residential,free standing,with light,2023-01-28 22:44:43
126,indoor,residential,wall,without light,2022-07-23 14:22:32
127,indoor,residential,wall,without light,2022-07-16 03:37:39
128,outdoor,industrial,roof,with light,2022-09-26 21:50:06
129,outdoor,industrial,wall,without light,2022-03-19 23:02:28
130,indoor,residential,wall,without light,2023-01-11 12:04:45
131,indoor,industrial,roof,with light,2022-12-24 03:25:30
132,outdoor,residential,free standing,with light,2022-05-08 14:09:58
133,indoor,industrial,roof,with light,2023-03-04 20:33:16
134,outdoor,industrial,wall,without light,2022-07-25 03:58:20
